age,age_onset,birthplace,filename,native_language,sex,speakerid,country,l2_acq
20,5.0,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,15.0
28,6.0,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,22.0
31,12.0,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,19.0
23,6.0,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,17.0
36,11.0,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,25.0
20,2.0,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,18.0
23,7.0,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,16.0
52,24.0,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,28.0
27,8.0,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,19.0
31,7.0,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,24.0
31,4.0,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,27.0
38,13.0,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,25.0
30,12.0,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,18.0
40,12.0,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,28.0
38,12.0,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,26.0
26,5.0,"cairo, egypt",arabic10,arabic,male,12,egypt,21.0
40,10.0,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,30.0
22,3.0,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,19.0
30,14.0,"monastir, tunisia",arabic11,arabic,female,13,tunisia,16.0
32,11.0,"baghdad, iraq",arabic12,arabic,male,14,iraq,21.0
47,11.0,"amman, jordan",arabic14,arabic,male,428,jordan,36.0
35,15.0,"settat, morocco",arabic17,arabic,male,512,morocco,20.0
43,18.0,"khouribga, morocco",arabic19,arabic,male,625,morocco,25.0
18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,15.5
36,12.0,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,24.0
46,30.0,"beirut, lebanon",arabic21,arabic,female,670,lebanon,16.0
42,13.0,"al mahalla, egypt",arabic23,arabic,male,927,egypt,29.0
40,7.0,"cairo, egypt",arabic24,arabic,male,970,egypt,33.0
38,5.0,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),33.0
43,14.0,"amman, jordan",arabic26,arabic,female,1012,jordan,29.0
70,10.0,"jerusalem, israel",arabic27,arabic,male,1013,israel,60.0
30,12.0,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,18.0
24,9.0,"doha, qatar",arabic3,arabic,male,17,qatar,15.0
47,12.0,"baghdad, iraq",arabic31,arabic,female,1181,iraq,35.0
42,12.0,"baghdad, iraq",arabic32,arabic,male,1203,iraq,30.0
28,11.0,"baghdad, iraq",arabic33,arabic,female,1204,iraq,17.0
34,6.0,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,28.0
56,16.0,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,40.0
36,6.0,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,30.0
22,5.0,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,17.0
25,7.0,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,18.0
29,8.0,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,21.0
29,7.0,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,22.0
32,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,20.0
28,13.0,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,15.0
39,16.0,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,23.0
29,12.0,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,17.0
26,8.0,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,18.0
36,17.0,"rabat, morocco",arabic53,arabic,male,1526,morocco,19.0
22,7.0,"baghdad, iraq",arabic54,arabic,male,1565,iraq,15.0
70,33.0,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,37.0
43,12.0,"ain defla, algeria",arabic56,arabic,male,1677,algeria,31.0
34,9.0,"baghdad, iraq",arabic58,arabic,male,1700,iraq,25.0
55,9.0,"irbid, jordan",arabic59,arabic,male,1702,jordan,46.0
60,14.0,"cairo, egypt",arabic60,arabic,male,1711,egypt,46.0
28,10.0,"bani walid, libya",arabic63,arabic,female,1769,libya,18.0
23,6.0,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,17.0
32,10.0,"samail, oman",arabic65,arabic,female,1778,oman,22.0
50,14.0,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,36.0
43,22.0,"nasriah, iraq",arabic67,arabic,male,1785,iraq,21.0
55,15.0,"kerma, sudan",arabic69,arabic,female,1810,sudan,40.0
47,16.0,"casablanca, morocco",arabic70,arabic,male,1827,morocco,31.0
47,7.0,"nazareth, israel",arabic73,arabic,female,1841,israel,40.0
26,2.0,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,24.0
25,4.0,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,21.0
19,3.0,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,16.0
42,12.0,"damascus, syria",arabic82,arabic,male,1917,syria,30.0
28,3.0,"cairo, egypt",arabic86,arabic,male,1964,egypt,25.0
49,10.0,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,39.0
19,4.0,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,15.0
35,19.0,"baghdad, iraq",arabic89,arabic,female,2022,iraq,16.0
28,4.0,"jerusalem, israel",arabic9,arabic,female,23,israel,24.0
57,12.0,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,45.0
36,10.0,"baghdad, iraq",arabic92,arabic,male,2087,iraq,26.0
27,10.0,"baghdad, iraq",arabic93,arabic,female,2112,iraq,17.0
24,9.0,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,15.0
31,10.0,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,21.0
19,4.0,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,15.0
19,4.0,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,15.0
18,3.0,"dhaka, bangladesh",bengali10,bengali,female,1009,bangladesh,15.0
34,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,30.5
25,4.0,"sylhet, bangladesh",bengali12,bengali,female,1682,bangladesh,21.0
33,10.0,"dhaka, bangladesh",bengali13,bengali,female,1825,bangladesh,23.0
26,4.0,"kolkata, india",bengali14,bengali,male,1973,india,22.0
46,8.0,"dhaka, bangladesh",bengali15,bengali,female,2004,bangladesh,38.0
24,6.0,"dhaka, bangladesh",bengali16,bengali,female,2073,bangladesh,18.0
25,2.0,"lusaka, zambia",bengali2,bengali,female,35,zambia,23.0
24,6.0,"chittagong, bangladesh",bengali4,bengali,male,37,bangladesh,18.0
40,5.0,"dhaka, bangladesh",bengali5,bengali,female,622,bangladesh,35.0
29,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,25.0
49,6.0,"mymensingh, bangladesh",bengali7,bengali,male,710,bangladesh,43.0
